id,common_name,scientific_name,price,category,image_url,family,care_level,watering,sunlight,hardiness_min,hardiness_max,description
1,Swiss cheese plant,Monstera deliciosa,$42.00,Interior,https://images.unsplash.com/photo-1653404809389-f370ea4310dd,Araceae,Average,Average,Part shade,18°C,27°C,Popular tropical plant with iconic split leaves
2,Fiddle-leaf fig,Ficus lyrata,$55.00,Rare Finds,https://images.unsplash.com/photo-1580133318324-f2f76d987dd8,Moraceae,Average,Average,Part shade,18°C,27°C,Statement plant with large violin-shaped leaves
3,Rubber fig,Ficus elastica,$38.00,Air Purifying,https://images.unsplash.com/photo-1623032693199-e9abd35e0a98,Moraceae,Average,Average,Part shade,18°C,27°C,Easy-care plant with glossy dark leaves
4,Golden pothos,Epipremnum aureum,$22.00,Beginner Friendly,https://images.unsplash.com/photo-1696457848618-876c47b30cfd,Araceae,Average,Average,Part shade,18°C,27°C,Trailing vine perfect for beginners
5,Snake plant,Dracaena trifasciata,$28.00,Low Light,https://images.unsplash.com/photo-1613498630970-f2a333cb4974,Asparagaceae,Average,Minimum,Part shade,15°C,25°C,Extremely hardy succulent-like plant
6,Peace lily,Spathiphyllum wallisii,$32.00,Air Purifying,https://images.unsplash.com/photo-1707264689599-f4ab29ccbb1d,Araceae,Average,Average,Part shade,18°C,27°C,Elegant white flowers with air purifying qualities
7,Spider plant,Chlorophytum comosum,$18.00,Hanging Plants,https://images.unsplash.com/photo-1616668713144-3dd6bd1cad86,Asparagaceae,Average,Average,Part shade,15°C,25°C,Easy-care hanging plant with baby plantlets
8,Aloe vera,Aloe vera,$16.00,Succulents,https://images.unsplash.com/photo-1643717101835-ea24088aef16,Asphodelaceae,Minimum,Minimum,Full sun,10°C,30°C,Medicinal succulent with healing properties
9,Jade plant,Crassula ovata,$24.00,Succulents,https://images.unsplash.com/photo-1597334133882-7027ac9bd95e,Crassulaceae,Minimum,Minimum,Full sun,10°C,30°C,Lucky succulent with thick rounded leaves
10,ZZ plant,Zamioculcas zamiifolia,$36.00,Low Light,https://images.unsplash.com/photo-1536882240095-0379873feb4e,Araceae,Average,Average,Part shade,18°C,27°C,Nearly indestructible with glossy leaves
11,Chinese money plant,Pilea peperomioides,$26.00,Beginner Friendly,https://images.unsplash.com/photo-1728297523666-ebbd1698083c,Urticaceae,Average,Average,Part shade,18°C,27°C,Round coin-shaped leaves on delicate stems
12,Peacock plant,Goeppertia makoyana,$44.00,Rare Finds,https://images.unsplash.com/photo-1616276595426-81d5a3cfc772,Marantaceae,Average,Average,Part shade,18°C,27°C,Stunning patterned leaves with movement
13,English ivy,Hedera helix,$20.00,Hanging Plants,https://images.unsplash.com/photo-1708166993453-1ea2c86c7c01,Araliaceae,Average,Average,Part shade,15°C,25°C,Classic trailing vine for hanging baskets
14,Dragon tree,Dracaena marginata,$48.00,Interior,https://images.unsplash.com/photo-1769184614135-f2e714e17230,Asparagaceae,Average,Average,Part shade,15°C,25°C,Architectural plant with spiky red-edged leaves
15,Chinese evergreen,Aglaonema commutatum,$34.00,Low Light,https://images.unsplash.com/photo-1568151492546-1db658d0fc42,Araceae,Average,Average,Part shade,18°C,27°C,Variegated leaves in low light conditions
16,Inch plant,Tradescantia zebrina,$19.00,Hanging Plants,https://images.unsplash.com/photo-1587398411636-48f716ba0b54,Commelinaceae,Average,Average,Part shade,15°C,25°C,Purple and silver striped trailing plant
17,Baby rubberplant,Peperomia obtusifolia,$22.00,Beginner Friendly,https://images.unsplash.com/photo-1719854800255-0b18066bd67c,Piperaceae,Average,Average,Part shade,18°C,27°C,Compact plant with thick glossy leaves
18,Arrowhead plant,Syngonium podophyllum,$25.00,Interior,https://images.unsplash.com/photo-1606979608471-6478324d9097,Araceae,Average,Average,Part shade,18°C,27°C,Arrow-shaped leaves that change with age
19,Heartleaf philodendron,Philodendron hederaceum,$27.00,Beginner Friendly,https://images.unsplash.com/photo-1758153694189-33866902d68a,Araceae,Average,Average,Part shade,18°C,27°C,Classic vine with heart-shaped leaves
20,Christmas cactus,Schlumbergera truncata,$21.00,Succulents,https://images.unsplash.com/photo-1745688713223-7fc1b37381e8,Cactaceae,Minimum,Minimum,Full sun,10°C,30°C,Holiday bloomer with colorful flowers
21,Poinsettia,Euphorbia pulcherrima,$18.00,Interior,https://images.unsplash.com/photo-1708794897552-926bee3d98ae,Euphorbiaceae,Minimum,Minimum,Full sun,10°C,30°C,Festive red bracts for winter season
22,Moth orchid,Phalaenopsis aphrodite,$52.00,Rare Finds,https://images.unsplash.com/photo-1716878271671-0076fa53fecd,Orchidaceae,Average,Average,Part shade,15°C,25°C,Elegant long-lasting orchid flowers
23,Flamingo flower,Anthurium andraeanum,$46.00,Air Purifying,https://images.unsplash.com/photo-1704113972939-b7dca1235da6,Araceae,Average,Average,Part shade,18°C,27°C,Glossy red heart-shaped flowers
24,Polka dot begonia,Begonia maculata,$58.00,Rare Finds,https://images.unsplash.com/photo-1663647733214-3286521f6660,Begoniaceae,Average,Average,Part shade,15°C,25°C,Silver spotted leaves with red undersides
25,African mask,Alocasia amazonica,$64.00,Rare Finds,https://images.unsplash.com/photo-1759520277895-69185ef95e4f,Araceae,Average,Average,Part shade,18°C,27°C,Bold arrow-shaped leaves with white veins
26,Nerve plant,Fittonia albivenis,$17.00,Pet Friendly,https://images.unsplash.com/photo-1751147465529-34222ac0ab4a,Acanthaceae,Average,Average,Part shade,15°C,25°C,Small plant with intricate vein patterns
27,Prayer plant,Maranta leuconeura,$29.00,Interior,https://images.unsplash.com/photo-1677747639865-f95f16ec976c,Marantaceae,Average,Average,Part shade,18°C,27°C,Leaves fold up at night like praying hands
28,Ponytail palm,Beaucarnea recurvata,$45.00,Beginner Friendly,https://images.unsplash.com/photo-1661233319632-b0e21ee46f81,Asparagaceae,Minimum,Minimum,Full sun,10°C,30°C,Drought-tolerant with swollen trunk base
29,Spineless yucca,Yucca elephantipes,$52.00,Low Light,https://images.unsplash.com/photo-1623859342982-1a5001a1f17d,Asparagaceae,Minimum,Minimum,Full sun,10°C,30°C,Architectural plant with sword-like leaves
30,Norfolk Island pine,Araucaria heterophylla,$58.00,Interior,https://images.unsplash.com/photo-1730366784712-79647d2e4154,Araucariaceae,Average,Average,Part shade,15°C,25°C,Symmetrical miniature pine tree for indoors
31,Parlor palm,Chamaedorea elegans,$38.00,Air Purifying,https://images.unsplash.com/photo-1687269111857-3b398711c2f4,Arecaceae,Average,Average,Part shade,16°C,28°C,Compact palm perfect for small spaces
32,Areca palm,Dypsis lutescens,$62.00,Air Purifying,https://images.unsplash.com/photo-1598531403144-43fdb36c9ae8,Arecaceae,Average,Average,Part shade,16°C,28°C,Elegant feathery fronds for bright spaces
33,Lady palm,Rhapis excelsa,$68.00,Interior,https://images.unsplash.com/photo-1731831337181-3ce6a6f39e02,Arecaceae,Average,Average,Part shade,16°C,28°C,Fan-shaped leaves on bamboo-like stems
34,Kentia palm,Howea forsteriana,$72.00,Rare Finds,https://images.unsplash.com/photo-1652954352097-29f2d0526f08,Arecaceae,Average,Average,Part shade,16°C,28°C,Graceful arching fronds for elegant spaces
35,Boston fern,Nephrolepis exaltata,$24.00,Hanging Plants,https://images.unsplash.com/photo-1704869727879-25ed3c235e7d,Nephrolepidaceae,Frequent,Frequent,Part shade,15°C,24°C,Lush cascading fronds for humid conditions
36,Bird's nest fern,Asplenium nidus,$32.00,Air Purifying,https://images.unsplash.com/photo-1740643059108-5e93b2a56719,Aspleniaceae,Frequent,Frequent,Part shade,15°C,24°C,Rosette of glossy undulating fronds
37,Delta maidenhair fern,Adiantum raddianum,$28.00,Pet Friendly,https://images.unsplash.com/photo-1762952318948-51fec88f6a7f,Pteridaceae,Frequent,Frequent,Part shade,15°C,24°C,Delicate lacy fronds on black stems
38,Staghorn fern,Platycerium bifurcatum,$48.00,Rare Finds,https://images.unsplash.com/photo-1667715318212-7dbf21da371f,Polypodiaceae,Frequent,Frequent,Part shade,15°C,24°C,Unique antler-shaped fronds mounted display
39,African violet,Saintpaulia ionantha,$15.00,Pet Friendly,https://images.unsplash.com/photo-1680272144322-09f005585f15,Gesneriaceae,Average,Average,Part shade,15°C,25°C,Compact flowering plant with fuzzy leaves
40,Persian cyclamen,Cyclamen persicum,$21.00,Interior,https://images.unsplash.com/photo-1607518066388-d2f19343931b,Primulaceae,Average,Average,Part shade,15°C,25°C,Butterfly-like flowers in cool months
41,Flaming katy,Kalanchoe blossfeldiana,$19.00,Succulents,https://images.unsplash.com/photo-1681769689116-252ac9081af8,Crassulaceae,Minimum,Minimum,Full sun,10°C,30°C,Succulent with clusters of bright flowers
42,Coleus,Solenostemon scutellarioides,$16.00,Interior,https://images.unsplash.com/photo-1641100710199-7f841ee78d44,Lamiaceae,Average,Average,Part shade,15°C,25°C,Vibrant multicolored foliage plant
43,Croton,Codiaeum variegatum,$35.00,Rare Finds,https://images.unsplash.com/photo-1641906101577-58759637055b,Euphorbiaceae,Minimum,Minimum,Full sun,10°C,30°C,Tropical with bold multicolored leaves
44,Dwarf umbrella tree,Schefflera arboricola,$42.00,Interior,https://images.unsplash.com/photo-1639714795430-f96b8957a793,Araliaceae,Average,Average,Part shade,15°C,25°C,Compact tree with glossy umbrella leaves
45,Paper plant,Fatsia japonica,$39.00,Low Light,https://images.unsplash.com/photo-1604305086821-05e8322c8d87,Araliaceae,Average,Average,Part shade,15°C,25°C,Bold palmate leaves for shaded areas
46,Cast iron plant,Aspidistra elatior,$33.00,Low Light,https://images.unsplash.com/photo-1718443447370-73996990f61b,Asparagaceae,Average,Average,Part shade,15°C,25°C,Nearly indestructible low-light survivor
47,Porcelainflower,Hoya carnosa,$41.00,Hanging Plants,https://images.unsplash.com/photo-1769346442881-b63ba7476b77,Apocynaceae,Average,Average,Part shade,15°C,25°C,Waxy leaves with fragrant star flowers
48,String of pearls,Senecio rowleyanus,$26.00,Succulents,https://images.unsplash.com/photo-1648070024741-43f8fa965966,Asteraceae,Minimum,Minimum,Full sun,10°C,30°C,Trailing succulent with bead-like leaves
49,String of hearts,Ceropegia woodii,$30.00,Hanging Plants,https://images.unsplash.com/photo-1762008085205-19e90e73611a,Apocynaceae,Average,Average,Part shade,15°C,25°C,Delicate trailing vine with heart leaves
50,Spanish moss,Tillandsia usneoides,$12.00,Air Purifying,https://images.unsplash.com/photo-1653764921246-cf5c91b32c6a,Bromeliaceae,Average,Average,Part shade,15°C,25°C,Epiphytic air plant with silvery strands
51,Boston ivy,Parthenocissus tricuspidata,$23.00,Hanging Plants,https://images.unsplash.com/photo-1656942599833-1c34a23bea78,Vitaceae,Average,Average,Part shade,15°C,25°C,Classic climbing vine with seasonal color
52,English lavender,Lavandula angustifolia,$19.00,Air Purifying,https://images.unsplash.com/photo-1656634675770-1eb2ead69987,Lamiaceae,Minimum,Minimum,Full sun,10°C,25°C,Aromatic purple flowers for calm spaces
53,Jasmine,Jasminum polyanthum,$37.00,Rare Finds,https://images.unsplash.com/photo-1768149107139-827691a5f77a,Oleaceae,Average,Average,Full sun,10°C,25°C,Climbing vine with intensely fragrant flowers
54,Gardenia,Gardenia jasminoides,$44.00,Interior,https://images.unsplash.com/photo-1645825937439-e31fdba2e219,Rubiaceae,Average,Frequent,Part shade,16°C,24°C,Glossy leaves with creamy fragrant blooms
55,Hibiscus,Hibiscus rosa-sinensis,$38.00,Interior,https://images.unsplash.com/photo-1611441922932-24868bf6391a,Malvaceae,Average,Average,Full sun,15°C,30°C,Tropical with large showy flowers
56,Bougainvillea,Bougainvillea glabra,$42.00,Rare Finds,https://images.unsplash.com/photo-1755482760041-5e4b9f8b5980,Nyctaginaceae,Minimum,Average,Full sun,10°C,30°C,Vibrant papery bracts in brilliant colors
57,Caladium,Caladium bicolor,$36.00,Rare Finds,https://images.unsplash.com/photo-1755668739702-fc00c9701cc9,Araceae,Average,Average,Part shade,20°C,28°C,Paper-thin leaves with stunning patterns
58,Bromeliad,Guzmania lingulata,$40.00,Air Purifying,https://images.unsplash.com/photo-1773903896632-ed1404124bae,Bromeliaceae,Average,Average,Part shade,16°C,27°C,Rosette with colorful central flower spike
59,Dumb cane,Dieffenbachia seguine,$31.00,Low Light,https://images.unsplash.com/photo-1670121549604-90d7c1e76855,Araceae,Average,Average,Part shade,18°C,27°C,Bold variegated leaves for bright indoors
60,Bird of paradise,Strelitzia reginae,$68.00,Rare Finds,https://images.unsplash.com/photo-1652712088453-970e2604c80e,Strelitziaceae,Average,Average,Full sun,15°C,30°C,Exotic orange and blue crane-like flowers
61,Lucky bamboo,Dracaena sanderiana,$14.00,Beginner Friendly,https://images.unsplash.com/photo-1585155839850-9546d90dbb74,Asparagaceae,Minimum,Frequent,Part shade,15°C,32°C,Can grow in water or soil feng shui plant
62,Venus flytrap,Dionaea muscipula,$18.00,Rare Finds,https://images.unsplash.com/photo-1692205413648-791a8056fe87,Droseraceae,Average,Frequent,Full sun,5°C,35°C,Carnivorous with snap-trap leaves
63,Pitcher plant,Nepenthes alata,$52.00,Rare Finds,https://images.unsplash.com/photo-1759585216928-4ca1bd288d1e,Nepenthaceae,Average,Frequent,Part shade,15°C,30°C,Tropical carnivore with hanging pitchers
64,Sundew,Drosera capensis,$24.00,Rare Finds,https://images.unsplash.com/photo-1753561405157-68635b78abae,Droseraceae,Average,Frequent,Full sun,5°C,35°C,Sticky tentacles capture insects
65,Echeveria,Echeveria elegans,$15.00,Succulents,https://images.unsplash.com/photo-1657988149309-b9d63475d553,Crassulaceae,Minimum,Minimum,Full sun,5°C,30°C,Perfect rosette-shaped succulent
66,Haworthia,Haworthia attenuata,$18.00,Succulents,https://images.unsplash.com/photo-1648707789040-c620b73ec8de,Asphodelaceae,Minimum,Minimum,Part shade,10°C,25°C,Zebra-striped compact succulent
67,Sedum,Sedum morganianum,$17.00,Hanging Plants,https://images.unsplash.com/photo-1710179028647-77179ba643a2,Crassulaceae,Minimum,Minimum,Full sun,10°C,30°C,Trailing succulent with plump leaves
68,Hens and chicks,Sempervivum tectorum,$13.00,Succulents,https://images.unsplash.com/photo-1761162475868-11a81e494df2,Crassulaceae,Minimum,Minimum,Full sun,−20°C,30°C,Hardy cold-tolerant succulent rosettes
69,Living stones,Lithops aucampiae,$22.00,Rare Finds,https://images.unsplash.com/photo-1761707847810-fe430d132bbc,Aizoaceae,Minimum,Minimum,Full sun,10°C,35°C,Stone-like succulent that blooms
70,Barrel cactus,Echinocactus grusonii,$34.00,Succulents,https://images.unsplash.com/photo-1768726094465-81a6d4e7159a,Cactaceae,Minimum,Minimum,Full sun,5°C,35°C,Golden-spined spherical cactus
71,Prickly pear,Opuntia ficus-indica,$25.00,Succulents,https://images.unsplash.com/photo-1534312663388-244b6be22824,Cactaceae,Minimum,Minimum,Full sun,−5°C,40°C,Paddle-shaped cactus with edible fruit
72,Easter cactus,Rhipsalidopsis gaertneri,$23.00,Succulents,https://images.unsplash.com/photo-1651070159955-40a5a2097328,Cactaceae,Minimum,Average,Part shade,10°C,25°C,Spring-blooming cactus with star flowers
73,Moon cactus,Gymnocalycium mihanovichii,$16.00,Rare Finds,https://images.unsplash.com/photo-1543378378-00ae883be3e8,Cactaceae,Minimum,Minimum,Part shade,10°C,30°C,Grafted colorful top on green base
74,Bunny ear cactus,Opuntia microdasys,$19.00,Beginner Friendly,https://images.unsplash.com/photo-1769927954743-e0ae16ed40aa,Cactaceae,Minimum,Minimum,Full sun,10°C,35°C,Paddle cactus with golden glochids
75,Old man cactus,Cephalocereus senilis,$38.00,Rare Finds,https://images.unsplash.com/photo-1548224518-4a698b2beada,Cactaceae,Minimum,Minimum,Full sun,10°C,35°C,Columnar cactus covered in white hair
76,Zebra plant,Aphelandra squarrosa,$42.00,Interior,https://images.unsplash.com/photo-1667395941567-9892435d0240,Acanthaceae,Average,Average,Part shade,18°C,27°C,Bold striped leaves with yellow flowers
77,Polka dot plant,Hypoestes phyllostachya,$14.00,Pet Friendly,https://images.unsplash.com/photo-1677612680321-7c63f32127ae,Acanthaceae,Average,Average,Part shade,15°C,25°C,Colorful spotted foliage in pink or red
78,Aluminum plant,Pilea cadierei,$21.00,Beginner Friendly,https://images.unsplash.com/photo-1774137144397-8fc6adc19833,Urticaceae,Average,Average,Part shade,15°C,25°C,Silver and green patterned leaves
79,Purple shamrock,Oxalis triangularis,$18.00,Interior,https://images.unsplash.com/photo-1723650948688-46a10969f666,Oxalidaceae,Average,Average,Part shade,15°C,25°C,Deep purple triangular leaves that fold
80,Silver pothos,Scindapsus pictus,$29.00,Beginner Friendly,https://images.unsplash.com/photo-1646355943389-259af793f21f,Araceae,Average,Average,Low light,15°C,27°C,Velvety leaves with silver splashes
81,Neon pothos,Epipremnum aureum 'Neon',$24.00,Beginner Friendly,https://images.unsplash.com/photo-1728456440908-a53cba3f549f,Araceae,Average,Average,Part shade,18°C,27°C,Bright chartreuse trailing vine
82,Marble queen pothos,Epipremnum aureum 'Marble Queen',$26.00,Beginner Friendly,https://images.unsplash.com/photo-1611092204158-07c509e59b50,Araceae,Average,Average,Part shade,18°C,27°C,Heavily variegated white and green leaves
83,Variegated rubber plant,Ficus elastica 'Tineke',$48.00,Rare Finds,https://images.unsplash.com/photo-1643896505972-72e631fb5207,Moraceae,Average,Average,Part shade,18°C,27°C,Cream pink and green variegated leaves
84,Burgundy rubber plant,Ficus elastica 'Burgundy',$42.00,Air Purifying,https://images.unsplash.com/photo-1655188565217-014d76f9b670,Moraceae,Average,Average,Part shade,18°C,27°C,Deep burgundy almost black foliage
85,Pink princess philodendron,Philodendron 'Pink Princess',$124.00,Rare Finds,https://images.unsplash.com/photo-1728247926626-eaf15230f65e,Araceae,Average,Average,Part shade,18°C,27°C,Rare philodendron with pink variegation
86,Monstera adansonii,Monstera adansonii,$38.00,Interior,https://images.unsplash.com/photo-1708491687417-d378509e4ebb,Araceae,Average,Average,Part shade,18°C,27°C,Swiss cheese vine with fenestrated leaves
87,Monstera albo,Monstera deliciosa 'Albo Variegata',$186.00,Rare Finds,https://images.unsplash.com/photo-1661920910940-180586ea13d8,Araceae,Average,Average,Part shade,18°C,27°C,Highly sought white variegated monstera
88,Raven ZZ plant,Zamioculcas zamiifolia 'Raven',$52.00,Rare Finds,https://images.unsplash.com/photo-1598531402973-61a7a963b9e4,Araceae,Average,Minimum,Low light,18°C,27°C,Deep purple-black glossy foliage
89,Watermelon peperomia,Peperomia argyreia,$28.00,Beginner Friendly,https://images.unsplash.com/photo-1672191609734-84dd126f66df,Piperaceae,Average,Average,Part shade,18°C,25°C,Silver striped leaves like watermelon rind
90,Red prayer plant,Maranta leuconeura 'Erythroneura',$32.00,Interior,https://images.unsplash.com/photo-1677747639865-f95f16ec976c,Marantaceae,Average,Average,Part shade,18°C,27°C,Red veined leaves that fold at night
91,Stromanthe triostar,Stromanthe sanguinea 'Triostar',$46.00,Rare Finds,https://images.unsplash.com/photo-1678715943345-6e4f70b06a6b,Marantaceae,Average,Frequent,Part shade,18°C,27°C,Pink cream and green tricolored leaves
92,Calathea ornata,Calathea ornata,$39.00,Interior,https://images.unsplash.com/photo-1763201427272-9a059e8c4798,Marantaceae,Average,Average,Part shade,18°C,27°C,Pink pinstripe markings on dark leaves
93,Calathea medallion,Calathea roseopicta,$37.00,Interior,https://images.unsplash.com/photo-1602879952653-a3830f12a7cb,Marantaceae,Average,Average,Part shade,18°C,27°C,Round leaves with painted medallion pattern
94,Rattlesnake plant,Calathea lancifolia,$34.00,Interior,https://images.unsplash.com/photo-1773169205934-691b9c605c04,Marantaceae,Average,Average,Part shade,18°C,27°C,Lance-shaped leaves with wavy edges
95,White bird of paradise,Strelitzia nicolai,$78.00,Rare Finds,https://images.unsplash.com/photo-1766510427300-404fd3b9419a,Strelitziaceae,Average,Average,Full sun,15°C,30°C,Giant leaves with white flowers
96,Lipstick plant,Aeschynanthus radicans,$31.00,Hanging Plants,https://images.unsplash.com/photo-1610874828724-f4ef7564e901,Gesneriaceae,Average,Average,Part shade,18°C,27°C,Trailing plant with red tubular flowers
97,Purple waffle plant,Hemigraphis alternata,$19.00,Pet Friendly,https://images.unsplash.com/photo-1578120794955-4dbfaaa94a65,Acanthaceae,Average,Frequent,Part shade,18°C,27°C,Metallic purple puckered leaves
98,Goldfish plant,Columnea gloriosa,$33.00,Hanging Plants,https://images.unsplash.com/photo-1582728962248-26966a39c867,Gesneriaceae,Average,Average,Part shade,18°C,24°C,Orange flowers shaped like goldfish
99,String of bananas,Senecio radicans,$23.00,Succulents,https://images.unsplash.com/photo-1658576053797-a5ff82b067e9,Asteraceae,Minimum,Minimum,Part shade,10°C,30°C,Trailing succulent with banana-shaped leaves
100,String of dolphins,Senecio peregrinus,$35.00,Rare Finds,https://images.unsplash.com/photo-1715095786184-8df72fda7cbe,Asteraceae,Minimum,Minimum,Part shade,10°C,30°C,Succulent with leaves shaped like dolphins
